sports,supernatural,comedy,ecchi,sci-fi,psychological,mahou shoujo,horror,drama,thriller,action,mystery,hentai,music,fantasy,adventure,mecha,slice of life,romance
1596,547,178,797,221,1690,1931,1353,148,20329,181,1243,1787,4454,332,234,573,741,214
1614,586,179,808,222,1767,1932,1380,149,20513,184,1246,1788,4477,336,235,574,743,215
1668,591,188,811,225,1793,1954,1383,150,20613,185,1252,1791,4720,343,237,593,750,216
1669,595,189,816,227,1832,1957,1384,154,20615,186,1281,1821,4943,347,238,598,776,217
1670,599,190,818,233,1889,1995,1385,155,20661,187,1316,1834,5036,348,246,602,799,218
1674,600,191,824,236,1943,1996,1454,156,20714,198,1346,1895,5043,349,249,608,800,226
1707,602,192,837,237,1966,2036,1462,158,20931,202,1363,1896,5065,350,250,668,818,232
1764,610,193,841,239,1973,2037,1484,160,20932,204,1364,2007,5140,351,251,712,819,237
1771,613,195,857,256,1981,2038,1494,164,21002,205,1365,2021,5240,352,268,758,836,241
1842,618,196,863,266,2018,2039,1500,165,21127,206,1366,2070,5288,355,269,763,841,243
1846,645,197,881,267,2033,2040,1508,167,21190,207,1367,2134,5310,356,271,764,846,246
1859,646,200,886,271,2154,2041,1517,170,21225,208,1368,2135,5504,360,280,766,849,248
1861,656,201,913,274,2216,2044,1556,171,21234,209,1369,2136,5602,367,285,769,852,249
1873,665,204,914,276,2218,2045,1571,173,21291,210,1418,2137,5662,371,286,773,853,256
2008,666,205,940,277,2219,2046,1573,185,21340,212,1430,2138,5680,372,288,782,858,259
2009,704,209,941,278,2235,2080,1594,186,21355,218,1435,2139,5690,380,294,785,877,260
2050,713,210,963,285,2245,2134,1611,187,21452,219,1437,2140,5717,381,296,816,886,261
2052,732,212,964,286,2246,2196,1628,190,21509,221,1439,2145,5811,385,297,832,932,262
2071,760,213,966,288,2261,2230,1629,193,21569,222,1441,2185,5925,387,298,833,943,266
2112,762,214,981,290,2322,2272,1647,195,21624,223,1456,2186,6165,389,301,848,951,275
2116,777,215,982,293,2346,2367,1658,196,21636,225,1462,2187,6172,391,302,858,962,276
2117,782,217,991,294,2349,2424,1702,198,21665,226,1470,2188,6187,393,331,864,963,277
2118,789,218,1045,295,2449,2457,1705,199,21708,227,1471,2189,6209,404,338,865,966,281
2119,793,219,1053,296,2596,2489,1767,201,21719,230,1472,2190,6227,408,347,878,975,282
2120,834,221,1057,298,2607,2497,1782,202,97756,231,1473,2191,6305,417,360,887,976,284
2121,838,222,1060,299,2767,2524,1818,206,97980,236,1477,2194,6361,419,366,888,1004,290
2122,844,223,1067,302,2775,2804,1819,209,98443,237,1483,2195,6412,426,370,890,1014,291
2159,849,225,1097,308,2781,2806,1860,214,99111,238,1492,2208,6491,427,373,909,1025,300
2180,861,227,1103,318,2924,2834,1889,217,99629,249,1494,2209,6513,428,375,924,1029,304
2183,867,229,1104,321,2994,2923,1951,219,99708,252,1505,2240,6641,429,378,925,1040,313
2224,880,230,1107,324,3002,2937,1966,226,100049,257,1506,2266,6670,430,380,926,1065,315
2228,886,231,1111,329,3077,2947,2012,228,100168,267,1520,2275,6713,431,381,927,1083,318
2309,891,232,1112,333,3089,2948,2016,231,100251,269,1535,2276,6795,434,391,928,1116,319
2316,911,233,1127,339,3091,2988,2017,232,100332,270,1548,2315,6802,435,392,929,1126,322
2336,916,235,1129,342,3152,3051,2018,236,100388,272,1556,2324,6846,439,393,930,1142,325
2386,933,240,1183,344,3220,3076,2073,237,100931,274,1566,2325,6862,440,400,937,1145,328
2402,934,241,1185,347,3306,3112,2130,239,101090,278,1571,2326,7222,441,402,938,1177,329
2415,936,242,1195,354,3326,3285,2147,242,101132,282,1601,2327,7449,445,404,949,1188,330
2416,940,243,1218,358,3411,3320,2165,245,101349,284,1611,2328,7791,450,408,956,1198,334
2490,972,245,1228,366,3420,3328,2178,247,101497,285,1664,2329,7939,451,411,958,1206,337
2491,999,246,1235,370,3466,3356,2204,252,101610,288,1724,2338,8038,452,416,971,1210,338
2492,1003,248,1271,373,3507,3388,2239,256,101759,290,1742,2339,8190,454,418,977,1214,343
2493,1010,249,1411,374,3508,3402,2246,258,101811,296,1793,2340,8197,455,419,978,1222,345
2498,1019,250,1489,375,3652,3417,2250,260,101812,297,1844,2341,8619,457,420,992,1293,346
2499,1023,251,1496,377,3655,3573,2252,263,101814,300,1880,2342,8635,459,424,993,1375,355
2602,1026,253,1500,378,3701,3630,2261,266,101874,301,1889,2343,8777,460,426,1002,1376,356
2608,1036,254,1529,379,3713,3648,2262,267,102447,305,1901,2344,9213,461,431,1051,1379,358
2682,1039,255,1531,383,3785,3660,2291,272,102498,312,1910,2345,9617,462,432,1055,1453,361
