sports,supernatural,comedy,ecchi,sci-fi,psychological,mahou shoujo,horror,drama,thriller,action,mystery,hentai,music,fantasy,adventure,mecha,slice of life,romance
125867,16059,1487,21815,2068,131681,,,2000,,2125,114723,7179,,2876,1929,10028,16910,3419
126071,16091,1489,21818,2070,131701,,,2001,,2126,114745,7262,,2890,1930,10044,16918,3449
126167,16157,1496,21851,2080,131702,,,2004,,2130,114888,7264,,2891,1931,10092,16934,3455
126758,16241,1498,21852,2088,131755,,,2008,,2134,114919,7265,,2892,1938,10224,17082,3456
126793,16444,1500,21853,2089,131762,,,2009,,2138,114947,7266,,2928,1939,10263,17106,3457
127305,16512,1501,21874,2090,131763,,,2013,,2143,115040,7268,,2944,1940,10319,17121,3464
127796,16532,1502,21887,2094,131773,,,2016,,2144,115230,7276,,2952,1941,10342,17159,3467
128207,16602,1503,87475,2095,131863,,,2017,,2154,115998,7343,,2961,1942,10361,17161,3468
128397,16694,1505,87480,2096,132126,,,2019,,2156,116224,7411,,2962,1944,10447,17163,3469
128398,16706,1509,87488,2097,132232,,,2029,,2158,116225,7455,,2966,1946,10581,17237,3470
128526,16746,1514,97625,2099,132473,,,2030,,2161,116259,7456,,2970,1951,10622,17341,3483
128527,16762,1515,97636,2100,133391,,,2032,,2163,116287,7458,,2971,1952,10625,17351,3484
129571,16890,1516,97716,2106,133892,,,2035,,2169,116620,7573,,2977,1954,10648,17359,3488
130253,16904,1517,97767,2108,134120,,,2042,,2170,116972,7581,,2980,1957,10689,17397,3497
130402,16932,1525,97833,2109,134222,,,2051,,2174,117002,7582,,2993,1959,10693,17423,3501
130442,17074,1527,97863,2110,134289,,,2055,,2176,117532,7583,,2997,1961,10751,17437,3503
130549,17076,1528,97874,2123,135462,,,2071,,2178,117573,7611,,2998,1964,10763,17549,3508
131118,17245,1531,97936,2127,136080,,,2098,,2182,118035,7612,,3003,1972,10780,17573,3512
131485,17277,1532,97955,2128,136142,,,2103,,2183,118675,7708,,3004,1973,10793,17637,3513
131567,17513,1533,98060,2147,136168,,,2105,,2185,119085,7712,,3005,1990,10794,17643,3558
131571,17551,1534,98092,2152,136228,,,2129,,2196,119113,7730,,3024,1994,10808,17697,3572
131598,17725,1536,98093,2157,136307,,,2133,,2200,119455,7748,,3025,1998,10815,17733,3597
131730,17727,1538,98203,2158,136321,,,2139,,2202,120300,7864,,3028,1999,10820,17739,3605
131732,17777,1543,98209,2164,136360,,,2141,,2203,120325,7908,,3031,2006,10870,17741,3613
131754,17831,1546,98319,2169,136637,,,2143,,2205,120983,7914,,3037,2012,10937,17749,3615
132171,17909,1547,98389,2170,136678,,,2148,,2209,121467,7969,,3038,2019,10947,17753,3627
132420,18055,1552,98515,2176,136880,,,2152,,2212,121684,8039,,3043,2020,10948,17821,3641
132634,18153,1555,98595,2178,137669,,,2155,,2214,122562,8110,,3051,2021,10949,17833,3654
133124,18195,1558,98596,2182,137819,,,2158,,2216,122631,8111,,3057,2030,10950,17855,3661
134732,18411,1559,98621,2196,137894,,,2164,,2234,122639,8275,,3065,2031,10954,17875,3690
134861,18441,1562,98622,2200,137978,,,2167,,2239,123490,8289,,3070,2032,11021,17891,3701
135278,18497,1564,98702,2202,138530,,,2175,,2243,124028,8290,,3074,2036,11087,17909,3712
135584,18499,1565,98790,2203,138565,,,2179,,2248,124396,8291,,3076,2041,11227,18119,3731
136064,18631,1568,98833,2205,138700,,,2182,,2251,124434,8292,,3086,2043,11269,18121,3759
136110,18661,1569,98862,2206,138880,,,2199,,2252,124786,8293,,3088,2049,11281,18153,3782
136227,18723,1570,98878,2212,138976,,,2200,,2253,124845,8294,,3099,2053,11299,18205,3806
136381,18731,1571,98951,2215,138983,,,2202,,2255,124858,8471,,3109,2054,11357,18245,3807
136435,18799,1573,99054,2217,139074,,,2203,,2256,124965,8523,,3125,2055,11505,18317,3809
136668,18835,1577,99255,2234,139120,,,2208,,2262,125038,8574,,3135,2056,11661,18353,3813
136795,18849,1578,99539,2235,139248,,,2210,,2265,125428,8651,,3140,2060,11755,18411,3868
137265,18881,1579,99586,2236,139263,,,2213,,2269,125868,8653,,3157,2062,11767,18465,3907
137633,18919,1581,99718,2245,,,,2214,,2273,126177,8654,,3166,2063,12091,18469,3910
137802,19157,1584,99894,2250,,,,2216,,2282,126347,8655,,3176,2064,12149,18495,3914
137822,19171,1588,100071,2253,,,,2218,,2285,126365,8837,,3178,2065,12281,18497,3948
137983,19199,1590,100072,2254,,,,2219,,2291,126394,8918,,3180,2066,12337,18507,3952
138103,19213,1591,100382,2255,,,,2220,,2292,126403,8987,,3185,2068,12439,18573,3965
138383,19221,1592,100451,2257,,,,2225,,2293,126529,9006,,3186,2069,12441,18575,3976
138452,19383,1593,100483,2258,,,,2227,,2294,126832,9008,,3192,2072,12451,18577,4015
138769,19469,1596,100518,2260,,,,2230,,2298,126833,9009,,3194,2074,12471,18635,4059
138868,19533,1597,100523,2261,,,,2235,,2299,126890,9091,,3201,2075,12651,18671,4066
138953,19573,1600,100556,2262,,,,2236,,2300,126897,9211,,3221,2078,12689,18745,4069
138956,19603,1604,100635,2263,,,,2238,,2301,127162,9257,,3227,2079,12857,18753,4080
138985,19703,1606,100644,2265,,,,2243,,2307,127271,9270,,3230,2084,12885,18781,4113
,19759,1608,100659,2268,,,,2245,,2310,127401,9287,,3267,2085,13391,18849,4150
,19773,1613,100665,2269,,,,2253,,2312,128547,9304,,3269,2086,13449,18857,4163
,19871,1617,100722,2273,,,,2256,,2315,128712,9308,,3290,2088,13599,18953,4166
,19971,1619,100762,2281,,,,2257,,2318,128893,9309,,3297,2089,13693,19021,4181
,20359,1620,100773,2283,,,,2273,,2319,129201,9310,,3298,2090,13727,19023,4188
,20431,1621,100811,2284,,,,2282,,2321,129591,9311,,3300,2095,13731,19069,4189
,20442,1623,100814,2285,,,,2294,,2324,129595,9312,,3322,2099,14007,19111,4192
,20447,1626,101004,2288,,,,2298,,2331,129608,9316,,3329,2100,14237,19133,4199
,20458,1630,101095,2289,,,,2308,,2332,129741,9317,,3336,2102,14529,19159,4205
,20461,1641,101160,2291,,,,2314,,2335,129874,9322,,3356,2107,14675,19233,4213
,20474,1642,101168,2292,,,,2333,,2341,129898,9325,,3359,2108,14781,19257,4214
,20476,1648,101289,2293,,,,2341,,2346,130226,9326,,3390,2109,14875,19337,4218
,20478,1654,101581,2294,,,,2346,,2354,130550,9327,,3401,2110,14941,19363,4224
,20481,1655,101773,2298,,,,2349,,2355,131149,9328,,3402,2111,14989,19445,4246
,20488,1656,101924,2299,,,,2372,,2356,131486,9341,,3417,2123,15177,19469,4282
,20494,1658,101970,2300,,,,2387,,2359,131646,9352,,3420,2125,15197,19495,4306
,20500,1659,101981,2301,,,,2398,,2361,131681,9375,,3460,2126,15199,19585,4342
,20501,1668,102010,2302,,,,2402,,2362,131755,9434,,3461,2127,15201,19627,4353
,20503,1669,102401,2303,,,,2403,,2364,131770,9435,,3466,2128,15583,19671,4473
,20505,1670,102436,2304,,,,2405,,2382,131773,9442,,3496,2141,15785,19811,4477
,20525,1672,102508,2305,,,,2408,,2383,131912,9467,,3501,2142,15847,19817,4483
,20526,1679,102572,2309,,,,2417,,2384,131964,9486,,3508,2143,15863,19841,4484
,20531,1683,102708,2310,,,,2420,,2402,132126,9487,,3515,2144,15879,19849,4485
,20541,1684,102801,2312,,,,2424,,2404,132232,9503,,3518,2150,16041,19889,4508
,20542,1685,102822,2315,,,,2454,,2408,132473,9504,,3526,2151,16131,19897,4513
,20547,1694,103118,2319,,,,2456,,2418,132694,9507,,3533,2154,16415,19905,4531
,20556,1698,103119,2321,,,,2458,,2422,132695,9545,,3553,2162,16490,19919,4535
,20568,1701,103139,2322,,,,2465,,2423,132696,9588,,3570,2164,16524,19953,4551
,20573,1707,103222,2325,,,,2468,,2448,132697,9599,,3588,2168,16554,20003,4638
,20590,1709,103369,2331,,,,2476,,2449,132698,9638,,3593,2173,16558,20033,4644
,20591,1710,103377,2332,,,,2486,,2451,133425,9718,,3594,2174,16560,20047,4688
,20593,1711,103391,2337,,,,2487,,2452,133892,9721,,3597,2175,16562,20077,4695
,20595,1719,103631,2342,,,,2491,,2461,134623,9778,,3615,2182,16566,20079,4703
,20598,1720,103717,2343,,,,2492,,2462,135136,9849,,3622,2185,16568,20081,4713
,20601,1722,103900,2344,,,,2493,,2463,135801,9851,,3625,2196,16590,20093,4720
,20605,1725,104159,2354,,,,2495,,2465,136145,9855,,3627,2199,16620,20095,4722
,20606,1728,104291,2355,,,,2498,,2470,136344,9887,,3631,2201,16668,20109,4723
,20627,1732,104308,2362,,,,2499,,2472,136484,9904,,3638,2202,16784,20117,4744
,20638,1734,104325,2364,,,,2500,,2473,137667,9939,,3639,2203,16786,20123,4752
,20645,1735,104464,2382,,,,2523,,2474,137668,9968,,3642,2207,16788,20127,4763
,20646,1738,104723,2383,,,,2534,,2475,137758,9970,,3654,2211,16790,20145,4789
,20652,1741,104979,2397,,,,2536,,2479,137819,10043,,3660,2229,16796,20147,4804
,20656,1743,105074,2398,,,,2538,,2480,138700,10101,,3668,2236,16798,20205,4814
,20663,1744,105193,2407,,,,2542,,2482,139082,10106,,3675,2243,16800,20221,4903
,20669,1748,105194,2408,,,,2544,,2483,139093,10256,,3692,2249,16804,20239,4943
,20670,1749,105195,2410,,,,2545,,2484,,10280,,3695,2251,16806,20241,4999
,20697,1750,105391,2414,,,,2546,,2497,,10286,,3712,2263,16828,20243,5028
,20709,1751,105989,2419,,,,2547,,2500,,10325,,3720,2264,16832,20267,5039
,20713,1752,106239,2420,,,,2548,,2511,,10327,,3736,2268,16834,20391,5042
,20727,1753,106456,2422,,,,2549,,2520,,10368,,3751,2277,17002,20448,5065
,20729,1754,106509,2423,,,,2553,,2521,,10380,,3752,2279,17080,20450,5072
,20732,1755,106541,2448,,,,2554,,2524,,10392,,3754,2281,17127,20452,5081
,20736,1756,106750,2449,,,,2555,,2527,,10409,,3755,2284,17131,20453,5085
,20737,1757,106967,2451,,,,2556,,2560,,10419,,3757,2285,17165,20455,5107
,20740,1758,107226,2452,,,,2557,,2561,,10420,,3760,2286,17277,20459,5112
,20746,1764,107298,2455,,,,2558,,2581,,10421,,3765,2287,17407,20478,5116
,20748,1769,107880,2461,,,,2559,,2582,,10424,,3809,2288,17563,20480,5150
,20751,1778,107917,2470,,,,2560,,2583,,10429,,3813,2289,17655,20481,5155
,20752,1786,107961,2471,,,,2562,,2584,,10437,,3816,2290,17697,20483,5167
,20753,1790,107974,2473,,,,2568,,2589,,10443,,3832,2292,17717,20484,5191
,20754,1794,108062,2474,,,,2569,,2592,,10457,,3843,2311,17887,20485,5194
,20755,1795,108111,2475,,,,2573,,2593,,10458,,3847,2313,17917,20490,5204
,20768,1796,108241,2482,,,,2576,,2599,,10488,,3848,2314,17947,20497,5205
,20779,1797,108266,2487,,,,2577,,2600,,10546,,3869,2315,17959,20506,5216
,20785,1798,108267,2497,,,,2581,,2601,,10552,,3876,2318,17961,20512,5262
,20789,1802,108355,2510,,,,2582,,2603,,10553,,3884,2319,17963,20516,5278
,20791,1803,108388,2511,,,,2583,,2604,,10570,,3909,2322,17965,20517,5288
,20792,1804,108465,2516,,,,2584,,2606,,10575,,3914,2325,18227,20518,5293
,20799,1805,108713,2521,,,,2585,,2607,,10590,,3954,2330,18247,20519,5310
,20801,1806,108928,2522,,,,2586,,2608,,10668,,3968,2331,18271,20525,5315
,20814,1807,108944,2527,,,,2594,,2619,,10683,,3991,2332,18275,20526,5332
,20829,1808,109191,2534,,,,2595,,2620,,10694,,3992,2333,18283,20527,5341
,20844,1813,109321,2535,,,,2598,,2622,,10695,,3999,2334,18295,20528,5411
,20850,1816,109492,2536,,,,2609,,2682,,10697,,4004,2337,18301,20529,5415
,20860,1817,109963,2551,,,,2610,,2683,,10728,,4023,2363,18413,20531,5447
,20875,1830,110229,2560,,,,2613,,2684,,10764,,4024,2364,18449,20537,5504
,20879,1836,110270,2561,,,,2614,,2690,,10770,,4028,2365,18637,20539,5507
,20880,1837,110445,2563,,,,2618,,2695,,10779,,4049,2383,18639,20553,5521
,20888,1840,110738,2564,,,,2621,,2697,,10792,,4050,2389,18795,20554,5534
,20890,1841,110810,2581,,,,2623,,2698,,10827,,4051,2390,18989,20559,5578
,20896,1844,110954,2582,,,,2624,,2704,,10851,,4057,2391,19105,20566,5597
,20904,1847,111965,2583,,,,2683,,2713,,10906,,4060,2392,19163,20567,5630
,20911,1852,112125,2584,,,,2685,,2719,,10938,,4061,2393,19193,20575,5640
,20913,1853,112293,2585,,,,2694,,2722,,11031,,4067,2397,19195,20576,5648
,20918,1855,112296,2586,,,,2698,,2723,,11065,,4068,2398,19211,20579,5674
,20931,1856,112324,2592,,,,2714,,2724,,11067,,4080,2399,19279,20595,5678
,20947,1858,112667,2596,,,,2717,,2726,,11185,,4081,2408,19319,20596,5681
,20952,1861,112818,2598,,,,2726,,2727,,11321,,4084,2409,19445,20604,5690
,20953,1865,113139,2599,,,,2729,,2731,,11349,,4095,2415,19481,20611,5733
,20963,1872,113187,2600,,,,2732,,2734,,11465,,4099,2416,19653,20614,5734
,20964,1874,113286,2601,,,,2737,,2735,,11467,,4101,2418,19775,20617,5762
,20966,1883,113425,2603,,,,2739,,2737,,11469,,4114,2422,19799,20622,5772
,20981,1884,113924,2604,,,,2747,,2745,,11523,,4124,2424,19977,20625,5774
,20993,1885,114043,2607,,,,2751,,2746,,11745,,4127,2427,20045,20633,5784
,20997,1886,114056,2613,,,,2753,,2747,,11747,,4138,2428,20053,20634,5799
,21008,1887,114441,2614,,,,2755,,2752,,11749,,4147,2429,20261,20636,5835
,21025,1888,114473,2622,,,,2759,,2754,,11807,,4154,2451,20446,20645,5854
,21038,1891,114926,2656,,,,2760,,2757,,11815,,4155,2452,20449,20646,5865
,21040,1892,114959,2679,,,,2761,,2759,,11825,,4173,2456,20477,20648,5904
,21045,1893,114961,2681,,,,2768,,2765,,11827,,4186,2464,20509,20654,5918
,21046,1894,115113,2684,,,,2779,,2768,,11855,,4190,2465,20533,20657,5927
,21055,1898,115821,2686,,,,2785,,2769,,11879,,4191,2467,20571,20659,5941
,21068,1900,116588,2688,,,,2787,,2772,,11969,,4197,2472,20587,20665,5956
,21074,1902,116605,2689,,,,2788,,2775,,11997,,4199,2473,20588,20668,5958
,21087,1907,116752,2695,,,,2793,,2776,,12055,,4211,2474,20618,20672,5984
,21126,1908,117448,2696,,,,2795,,2778,,12057,,4214,2483,20632,20674,5992
,21128,1909,117989,2699,,,,2800,,2780,,12059,,4220,2487,20647,20676,6007
,21132,1911,118375,2700,,,,2801,,2782,,12061,,4262,2488,20658,20682,6023
,21140,1913,118465,2713,,,,2802,,2785,,12143,,4306,2497,20667,20687,6045
,21154,1914,118936,2717,,,,2810,,2786,,12373,,4318,2501,20680,20688,6060
,21170,1915,119812,2722,,,,2811,,2787,,12375,,4375,2503,20685,20689,6065
,21184,1918,119835,2723,,,,2813,,2791,,12397,,4383,2512,20707,20693,6095
,21185,1919,121043,2724,,,,2816,,2795,,12551,,4398,2513,20739,20694,6098
,21186,1920,122137,2725,,,,2828,,2797,,12563,,4415,2514,20741,20698,6117
,21188,1921,123769,2735,,,,2829,,2808,,12955,,4418,2515,20756,20701,6129
,21196,1922,124136,2736,,,,2830,,2811,,12957,,4419,2520,20762,20706,6164
,21200,1923,124395,2742,,,,2831,,2818,,12959,,4459,2522,20776,20710,6165
,21208,1924,124612,2746,,,,2832,,2819,,12961,,4467,2523,20786,20715,6166
,21212,1925,124965,2747,,,,2834,,2820,,12995,,4468,2524,20803,20720,6187
,21223,1929,125368,2754,,,,2848,,2837,,12997,,4469,2528,20806,20721,6203
,21224,1932,126791,2755,,,,2881,,2839,,13019,,4476,2529,20825,20722,6205
,21225,1936,127090,2758,,,,2889,,2851,,13051,,4481,2535,20853,20735,6219
,21231,1939,127368,2759,,,,2904,,2884,,13057,,4513,2543,20873,20742,6268
,21234,1940,127720,2760,,,,2906,,2889,,13217,,4521,2544,20881,20744,6324
,21241,1942,128740,2761,,,,2911,,2901,,13219,,4551,2545,20897,20747,6346
,21246,1944,130211,2769,,,,2913,,2903,,13221,,4553,2556,20903,20751,6347
,21248,1953,130586,2770,,,,2915,,2904,,13223,,4566,2559,20905,20752,6351
,21249,1955,131519,2775,,,,2920,,2906,,13325,,4615,2561,20925,20754,6372
,21253,1957,131863,2785,,,,2921,,2920,,13379,,4651,2565,20947,20757,6379
,21262,1960,132010,2788,,,,2922,,2921,,13559,,4657,2567,20974,20765,6401
,21269,1961,132405,2793,,,,2924,,2933,,13595,,4660,2569,21056,20766,6408
,21277,1962,136222,2795,,,,2926,,2941,,13643,,4662,2571,21057,20767,6479
,21284,1972,136226,2803,,,,2927,,2946,,13785,,4684,2572,21115,20768,6489
,21303,1980,136303,2808,,,,2928,,2951,,13917,,4685,2573,21119,20780,6496
,21306,1988,137670,2811,,,,2929,,2952,,13937,,4703,2574,21154,20800,6505
,21311,1989,137800,2816,,,,2964,,2969,,13959,,4712,2575,21178,20805,6512
,21326,1990,137877,2818,,,,2967,,2978,,14047,,4713,2577,21188,20812,6535
,21331,1992,138103,2833,,,,2974,,2980,,14127,,4715,2578,21201,20813,6567
,21339,1994,138450,2837,,,,2981,,2988,,14129,,4719,2579,21210,20819,6571
,21341,1996,139095,2839,,,,2997,,3000,,14207,,4726,2591,21254,20826,6572
,21352,2000,,2882,,,,2998,,3014,,14209,,4772,2594,21268,20831,6574
,21357,2001,,2884,,,,2999,,3015,,14379,,4773,2598,21275,20833,6579
,21382,2004,,2904,,,,3003,,3016,,14471,,4798,2606,21287,20834,6591
,21385,2006,,2906,,,,3005,,3021,,14539,,4801,2607,21362,20837,6594
,21386,2008,,2907,,,,3007,,3022,,14543,,4874,2611,21417,20847,6616
,21397,2009,,2928,,,,3015,,3024,,14621,,4884,2613,21451,20857,6624
,21398,2010,,2929,,,,3016,,3025,,14657,,4898,2614,21458,20858,6637
,21399,2011,,2933,,,,3026,,3027,,14659,,4933,2618,21471,20868,6675
,21400,2012,,2941,,,,3027,,3028,,14661,,4938,2619,21516,20872,6709
,21416,2013,,2951,,,,3031,,3035,,14991,,4943,2620,21534,20876,6712
,21425,2014,,2961,,,,3032,,3036,,14993,,4948,2622,21540,20877,6747
,21426,2015,,2962,,,,3038,,3044,,14995,,4961,2637,21658,20889,6773
,21432,2020,,2964,,,,3053,,3051,,15097,,4962,2638,21705,20900,6783
,21434,2021,,2965,,,,3060,,3060,,15409,,4983,2640,21707,20908,6791
,21450,2023,,2969,,,,3067,,3064,,15537,,4985,2641,21740,20912,6811
,21452,2024,,2973,,,,3069,,3065,,15539,,5014,2643,21746,20924,6883
,21473,2026,,2974,,,,3071,,3067,,15541,,5041,2644,21748,20940,6884
,21480,2027,,2978,,,,3072,,3070,,15839,,5071,2653,21749,20943,6927
,21483,2032,,2987,,,,3077,,3076,,15841,,5080,2654,21750,20949,6985
,21487,2033,,2998,,,,3089,,3079,,15843,,5108,2655,21752,20951,6987
,21496,2034,,3014,,,,3091,,3080,,15845,,5112,2656,21766,20954,7054
,21499,2036,,3015,,,,3092,,3086,,15867,,5114,2657,21788,20963,7066
,21505,2037,,3016,,,,3110,,3087,,16059,,5117,2661,21814,20968,7082
,21507,2038,,3022,,,,3111,,3098,,16091,,5153,2662,21830,20987,7148
,21514,2039,,3026,,,,3120,,3099,,16187,,5159,2665,21863,20988,7178
,21517,2041,,3028,,,,3138,,3100,,16189,,5196,2666,21893,20989,7222
,21519,2043,,3032,,,,3147,,3101,,16472,,5197,2668,21894,21000,7333
,21520,2044,,3033,,,,3162,,3104,,16474,,5203,2670,87487,21003,7366
,21535,2045,,3035,,,,3175,,3114,,16476,,5233,2671,87502,21008,7376
,21546,2046,,3044,,,,3176,,3115,,16638,,5235,2673,97663,21009,7396
,21557,2049,,3059,,,,3183,,3127,,16642,,5244,2674,97853,21014,7474
,21560,2050,,3060,,,,3186,,3135,,16644,,5252,2680,97874,21028,7475
,21562,2053,,3061,,,,3196,,3152,,16914,,5256,2685,97880,21034,7482
,21567,2057,,3067,,,,3220,,3153,,17012,,5259,2686,98056,21035,7504
,21569,2058,,3069,,,,3226,,3154,,17251,,5274,2688,98077,21039,7559
,21586,2059,,3070,,,,3231,,3155,,17371,,5276,2689,98141,21043,7575
,21629,2067,,3071,,,,3234,,3157,,17491,,5300,2695,98469,21047,7578
,21636,2072,,3072,,,,3248,,3166,,17537,,5305,2696,98470,21048,7579
,21640,2074,,3075,,,,3254,,3175,,17539,,5306,2699,98471,21049,7590
,21643,2075,,3079,,,,3258,,3178,,17541,,5314,2700,98504,21050,7593
,21647,2079,,3085,,,,3266,,3183,,17543,,5337,2702,98516,21054,7647
,21657,2081,,3086,,,,3270,,3213,,17745,,5341,2705,98521,21059,7668
,21662,2084,,3087,,,,3298,,3214,,17747,,5355,2707,98595,21061,7674
,21665,2085,,3098,,,,3306,,3222,,17823,,5372,2713,99001,21069,7705
,21678,2086,,3101,,,,3318,,3223,,17825,,5408,2715,99423,21070,7730
,21679,2087,,3104,,,,3323,,3231,,17833,,5411,2717,99424,21071,7748
,21681,2092,,3114,,,,3326,,3232,,17867,,5420,2718,99425,21078,7769
,21684,2097,,3115,,,,3335,,3234,,18151,,5421,2722,99547,21088,7781
,21695,2098,,3135,,,,3358,,3248,,18197,,5427,2724,99658,21091,7785
,21708,2102,,3146,,,,3375,,3251,,18199,,5440,2726,99659,21094,7805
,21710,2104,,3151,,,,3394,,3254,,18455,,5458,2747,99730,21096,7808
,21718,2108,,3152,,,,3396,,3269,,18479,,5466,2749,99731,21107,7817
,21719,2126,,3153,,,,3399,,3273,,18481,,5474,2750,99732,21108,7818
,21722,2130,,3154,,,,3420,,3274,,18483,,5478,2754,99839,21113,7861
,21745,2131,,3166,,,,3421,,3275,,18525,,5484,2762,100009,21118,7953
,21765,2132,,3167,,,,3424,,3276,,18597,,5504,2769,100248,21125,8038
,21777,2134,,3175,,,,3457,,3277,,18653,,5520,2770,100330,21135,8063
,21778,2142,,3183,,,,3462,,3278,,18655,,5525,2776,100341,21156,8074
,21791,2147,,3190,,,,3463,,3279,,18691,,5530,2777,100561,21158,8129
,21792,2150,,3192,,,,3465,,3280,,18693,,5538,2778,100620,21171,8190
,21793,2152,,3193,,,,3468,,3281,,18695,,5597,2780,100654,21177,8230
,21798,2159,,3219,,,,3469,,3288,,18959,,5602,2782,100655,21179,8233
,21799,2163,,3222,,,,3470,,3300,,19051,,5632,2783,100722,21180,8258
,21803,2164,,3223,,,,3484,,3308,,19101,,5678,2789,101036,21197,8277
,21804,2165,,3231,,,,3488,,3315,,19103,,5684,2792,101092,21204,8324
,21840,2166,,3232,,,,3501,,3323,,19283,,5688,2793,101126,21205,8339
,21860,2167,,3234,,,,3507,,3325,,19523,,5689,2799,101178,21213,8407
,21861,2168,,3235,,,,3512,,3342,,19569,,5702,2804,101179,21214,8425
,21878,2172,,3252,,,,3513,,3349,,19629,,5712,2806,101228,21226,8426
,21895,2180,,3256,,,,3558,,3352,,19631,,5753,2809,101339,21227,8476
,87457,2182,,3258,,,,3597,,3354,,19633,,5764,2811,101368,21228,8481
,87486,2183,,3268,,,,3602,,3358,,19635,,5781,2813,101554,21237,8516
,87498,2192,,3269,,,,3626,,3359,,19747,,5785,2816,101811,21238,8524
,87533,2198,,3270,,,,3627,,3361,,19857,,5819,2817,101812,21239,8525
,97591,2205,,3271,,,,3646,,3363,,19859,,5848,2819,101813,21243,8533
,97592,2206,,3287,,,,3655,,3366,,20007,,5876,2820,101915,21246,8536
,97594,2207,,3294,,,,3665,,3371,,20177,,5878,2824,102002,21255,8538
,97625,2217,,3297,,,,3726,,3389,,20261,,5886,2825,102525,21261,8560
,97636,2221,,3305,,,,3734,,3398,,20377,,5889,2826,102552,21267,8577
,97643,2222,,3317,,,,3750,,3399,,20379,,5904,2828,102622,21276,8630
,97660,2228,,3323,,,,3783,,3399,,20783,,5907,2829,102636,21280,8634
,97665,2229,,3325,,,,3784,,3402,,20852,,5918,2830,102644,21281,8643
,97668,2232,,3327,,,,3785,,3407,,20860,,5920,2831,102674,21284,8663
,97669,2233,,3342,,,,3786,,3418,,20874,,5921,2832,102675,21285,8676
,97670,2234,,3349,,,,3800,,3430,,20933,,5922,2833,102777,21292,8713
,97756,2237,,3352,,,,3807,,3432,,20934,,5923,2835,102835,21293,8756
,97821,2244,,3363,,,,3819,,3438,,21026,,5925,2836,102978,21296,8765
,97851,2248,,3366,,,,3829,,3444,,21029,,5930,2838,102979,21306,8767
,97855,2258,,3371,,,,3835,,3446,,21030,,5931,2842,103328,21315,8768
,97876,2259,,3381,,,,3854,,3448,,21036,,5934,2847,103470,21316,8769
,97880,2260,,3390,,,,3858,,3479,,21060,,5940,2848,103693,21320,8861
,97886,2263,,3398,,,,3866,,3480,,21062,,5986,2851,103722,21321,8889
,97890,2277,,3406,,,,3868,,3486,,21063,,5998,2889,103723,21322,8890
,97891,2278,,3407,,,,3870,,3501,,21067,,6007,2890,104006,21324,8891
,97908,2279,,3410,,,,3887,,3505,,21073,,6008,2895,104088,21327,8900
,97918,2280,,3429,,,,3927,,3508,,21074,,6032,2913,104466,21328,8993
,97939,2281,,3430,,,,3946,,3509,,21076,,6046,2928,104467,21332,9000
,97951,2284,,3433,,,,3947,,3511,,21081,,6061,2929,104557,21334,9005
,97983,2287,,3436,,,,3963,,3515,,21082,,6071,2962,104674,21337,9014
,98031,2289,,3444,,,,3964,,3522,,21083,,6072,2966,105595,21343,9041
,98033,2302,,3446,,,,3976,,3525,,21084,,6077,2970,105596,21347,9074
,98034,2306,,3447,,,,4037,,3533,,21089,,6094,2971,105907,21359,9117
,98035,2307,,3451,,,,4039,,3534,,21090,,6112,2972,105928,21365,9181
,98051,2309,,3455,,,,4059,,3549,,21100,,6124,2973,106508,21366,9212
,98106,2313,,3463,,,,4081,,3553,,21101,,6129,2977,107188,21376,9242
,98173,2317,,3464,,,,4132,,3572,,21102,,6151,2978,107219,21381,9243
,98206,2322,,3480,,,,4138,,3574,,21105,,6152,2980,107881,21382,9244
,98249,2330,,3485,,,,4155,,3579,,21106,,6153,2983,108039,21384,9311
,98379,2332,,3486,,,,4173,,3588,,21109,,6169,3004,108041,21389,9330
,98384,2335,,3490,,,,4181,,3593,,21111,,6181,3005,108147,21406,9333
,98436,2336,,3499,,,,4189,,3594,,21117,,6182,3008,108987,21422,9335
,98438,2363,,3506,,,,4199,,3595,,21124,,6183,3010,109002,21423,9347
,98442,2367,,3508,,,,4201,,3596,,21130,,6213,3019,109003,21431,9351
,98460,2384,,3522,,,,4210,,3599,,21139,,6219,3027,109004,21433,9353
,98477,2385,,3561,,,,4213,,3600,,21141,,6226,3031,109005,21437,9362
,98501,2386,,3572,,,,4220,,3602,,21142,,6245,3032,109483,21438,9367
,98506,2388,,3577,,,,4224,,3603,,21143,,6262,3033,109856,21441,9379
,98512,2390,,3579,,,,4282,,3605,,21144,,6267,3036,109870,21444,9435
,98515,2391,,3602,,,,4339,,3609,,21145,,6270,3044,109871,21455,9471
,98516,2392,,3609,,,,4353,,3613,,21146,,6277,3054,110131,21460,9496
,98524,2393,,3624,,,,4388,,3616,,21147,,6280,3059,110253,21465,9500
,98574,2398,,3625,,,,4461,,3625,,21148,,6318,3061,110261,21468,9542
,98576,2399,,3626,,,,4473,,3626,,21149,,6324,3064,110332,21472,9587
,98623,2400,,3630,,,,4475,,3653,,21150,,6327,3065,110419,21474,9611
,98629,2403,,3635,,,,4483,,3655,,21151,,6330,3069,110459,21477,9618
,98662,2406,,3637,,,,4484,,3656,,21153,,6421,3075,110786,21495,9624
,98663,2407,,3640,,,,4485,,3661,,21159,,6444,3079,110788,21506,9656
